Category,Prophets
Ulul Azm Prophets (The Greatest Five),"Nuh, Ibrahim, Musa, Isa, Muhammad"
Antediluvian Prophets (Before the Great Flood),"Adam, Idris, Nuh"
Arabic Prophets (Sent to Arab Nations),"Hud, Salih, Shu'ayb, Ismail, Muhammad"
Israelite Prophets (Banu Israel Lineage),"Ishaq, Yaqub, Yusuf, Ayyub, Musa, Harun, Dawud, Sulayman, Ilyas, Al-Yasa, Yunus, Zakariya, Yahya, Isa"
Other Prophets (Sent to Various Nations),"Lut, Dhul-Kifl"
The First Prophet,Adam
The Last Prophet,Muhammad
Prophets Mentioned in the Quran,"Adam, Idris, Nuh, Hud, Salih, Ibrahim, Lut, Ismail, Ishaq, Yaqub, Yusuf, Ayyub, Shu'ayb, Musa, Harun, Dawud, Sulayman, Ilyas, Al-Yasa, Yunus, Zakariya, Yahya, Isa, Muhammad"
Umm al muminin (Mothers of the Believers),"Khadijah bint Khuwaylid, Sawdah bint Zamah, Aisha bint Abu Bakr, Hafsa bint Umar, Zaynab bint Khuzaymah, Umm Salamah (Hind bint Abi Umayyah), Zaynab bint Jahsh, Juwariya bint al-Harith, Umm Habibah (Ramlah bint Abu Sufyan, Saffiyah bint Huyayy, Maymunah bint al-Harith)"
